#    L    TT             EE             TE          
   445   0.182190E+04   0.148451E+02  -0.665090E+02
   446   0.183166E+04   0.146795E+02  -0.670434E+02
   447   0.184159E+04   0.145132E+02  -0.675446E+02
   448   0.185154E+04   0.143446E+02  -0.680114E+02
   449   0.186167E+04   0.141760E+02  -0.684424E+02
   450   0.187189E+04   0.140073E+02  -0.688399E+02
   451   0.188213E+04   0.138372E+02  -0.692018E+02
   452   0.189239E+04   0.136671E+02  -0.695303E+02
   453   0.190283E+04   0.134969E+02  -0.698235E+02
   454   0.191321E+04   0.133261E+02  -0.700828E+02
   455   0.192362E+04   0.131552E+02  -0.703085E+02
   456   0.193420E+04   0.129835E+02  -0.704939E+02
   457   0.194465E+04   0.128126E+02  -0.706533E+02
   458   0.195520E+04   0.126417E+02  -0.707681E+02
   459   0.196578E+04   0.124714E+02  -0.708542E+02
   460   0.197639E+04   0.123004E+02  -0.709057E+02
   461   0.198695E+04   0.121302E+02  -0.709235E+02
   462   0.199754E+04   0.119598E+02  -0.709016E+02
   463   0.200808E+04   0.117910E+02  -0.708589E+02
   464   0.201857E+04   0.116228E+02  -0.707657E+02
   465   0.202902E+04   0.114553E+02  -0.706518E+02
   466   0.203950E+04   0.112878E+02  -0.704951E+02
   467   0.205001E+04   0.111217E+02  -0.703105E+02
   468   0.206041E+04   0.109570E+02  -0.700908E+02
   469   0.207076E+04   0.107922E+02  -0.698434E+02
   470   0.208114E+04   0.106297E+02  -0.695611E+02
   471   0.209125E+04   0.104693E+02  -0.692439E+02
   472   0.210148E+04   0.103095E+02  -0.688994E+02
   473   0.211159E+04   0.101512E+02  -0.685204E+02
   474   0.212166E+04   0.999500E+01  -0.681143E+02
   475   0.213169E+04   0.983948E+01  -0.676738E+02
   476   0.214154E+04   0.968684E+01  -0.672013E+02
   477   0.215127E+04   0.953560E+01  -0.667065E+02
   478   0.216096E+04   0.938575E+01  -0.661710E+02
   479   0.217055E+04   0.923877E+01  -0.656194E+02
   480   0.218002E+04   0.909393E+01  -0.650326E+02
   481   0.218938E+04   0.895120E+01  -0.644142E+02
   482   0.219871E+04   0.881134E+01  -0.637705E+02
   483   0.220778E+04   0.867360E+01  -0.631037E+02
   484   0.221667E+04   0.853871E+01  -0.624081E+02
   485   0.222560E+04   0.840593E+01  -0.616851E+02
   486   0.223434E+04   0.827675E+01  -0.609372E+02
   487   0.224291E+04   0.815041E+01  -0.601645E+02
   488   0.225129E+04   0.802617E+01  -0.593663E+02
   489   0.225957E+04   0.790551E+01  -0.585442E+02
   490   0.226775E+04   0.778842E+01  -0.576977E+02
   491   0.227560E+04   0.767417E+01  -0.568298E+02
   492   0.228342E+04   0.756349E+01  -0.559398E+02
   493   0.229106E+04   0.745490E+01  -0.550265E+02
   494   0.229852E+04   0.735135E+01  -0.540936E+02
   495   0.230574E+04   0.725061E+01  -0.531397E+02
   496   0.231278E+04   0.715418E+01  -0.521665E+02
   497   0.231964E+04   0.706130E+01  -0.511733E+02
   498   0.232633E+04   0.697122E+01  -0.501632E+02
   499   0.233292E+04   0.688618E+01  -0.491334E+02
   500   0.233926E+04   0.680394E+01  -0.480884E+02
   501   0.234528E+04   0.672671E+01  -0.470269E+02
   502   0.235128E+04   0.665375E+01  -0.459488E+02
   503   0.235696E+04   0.658429E+01  -0.448564E+02
   504   0.236240E+04   0.651904E+01  -0.437483E+02
   505   0.236781E+04   0.645874E+01  -0.426280E+02
   506   0.237284E+04   0.640277E+01  -0.414934E+02
   507   0.237777E+04   0.635081E+01  -0.403467E+02
