#    L    TT             EE             TE          
   248   0.515687E+04   0.204755E+01   0.564919E+02
   249   0.514091E+04   0.211993E+01   0.580374E+02
   250   0.512437E+04   0.219457E+01   0.595738E+02
   251   0.510740E+04   0.227116E+01   0.611017E+02
   252   0.508979E+04   0.234993E+01   0.626198E+02
   253   0.507189E+04   0.243064E+01   0.641266E+02
   254   0.505342E+04   0.251362E+01   0.656221E+02
   255   0.503444E+04   0.259855E+01   0.671063E+02
   256   0.501503E+04   0.268581E+01   0.685794E+02
   257   0.499520E+04   0.277495E+01   0.700330E+02
   258   0.497486E+04   0.286635E+01   0.714799E+02
   259   0.495409E+04   0.295986E+01   0.729053E+02
   260   0.493296E+04   0.305549E+01   0.743240E+02
   261   0.491133E+04   0.315315E+01   0.757138E+02
   262   0.488920E+04   0.325308E+01   0.770970E+02
   263   0.486693E+04   0.335505E+01   0.784661E+02
   264   0.484408E+04   0.345914E+01   0.798139E+02
   265   0.482073E+04   0.356527E+01   0.811329E+02
   266   0.479709E+04   0.367367E+01   0.824454E+02
   267   0.477294E+04   0.378397E+01   0.837291E+02
   268   0.474844E+04   0.389654E+01   0.849990E+02
   269   0.472343E+04   0.401108E+01   0.862476E+02
   270   0.469821E+04   0.412768E+01   0.874749E+02
   271   0.467256E+04   0.424625E+01   0.886811E+02
   272   0.464670E+04   0.436710E+01   0.898586E+02
   273   0.462040E+04   0.448964E+01   0.910224E+02
   274   0.459382E+04   0.461445E+01   0.921502E+02
   275   0.456687E+04   0.474103E+01   0.932644E+02
   276   0.453972E+04   0.486958E+01   0.943426E+02
   277   0.451213E+04   0.500013E+01   0.954073E+02
   278   0.448433E+04   0.513259E+01   0.964360E+02
   279   0.445624E+04   0.526688E+01   0.974364E+02
   280   0.442787E+04   0.540302E+01   0.984232E+02
   281   0.439936E+04   0.554108E+01   0.993742E+02
   282   0.437041E+04   0.568076E+01   0.100297E+03
   283   0.434132E+04   0.582228E+01   0.101191E+03
   284   0.431202E+04   0.596557E+01   0.102057E+03
   285   0.428250E+04   0.611064E+01   0.102895E+03
   286   0.425270E+04   0.625733E+01   0.103698E+03
   287   0.422268E+04   0.640566E+01   0.104479E+03
   288   0.419252E+04   0.655561E+01   0.105225E+03
   289   0.416214E+04   0.670712E+01   0.105943E+03
   290   0.413163E+04   0.686003E+01   0.106632E+03
   291   0.410097E+04   0.701510E+01   0.107279E+03
   292   0.406987E+04   0.717121E+01   0.107905E+03
   293   0.403893E+04   0.732799E+01   0.108488E+03
   294   0.400770E+04   0.748693E+01   0.109051E+03
   295   0.397655E+04   0.764653E+01   0.109571E+03
   296   0.394511E+04   0.780830E+01   0.110063E+03
   297   0.391360E+04   0.797000E+01   0.110527E+03
   298   0.388187E+04   0.813387E+01   0.110948E+03
   299   0.385015E+04   0.829915E+01   0.111334E+03
   300   0.381828E+04   0.846437E+01   0.111684E+03
   301   0.378635E+04   0.863101E+01   0.112007E+03
   302   0.375441E+04   0.879834E+01   0.112302E+03
   303   0.372241E+04   0.896710E+01   0.112555E+03
   304   0.369034E+04   0.913729E+01   0.112765E+03
   305   0.365827E+04   0.930744E+01   0.112946E+03
   306   0.362612E+04   0.947828E+01   0.113093E+03
   307   0.359398E+04   0.964983E+01   0.113197E+03
   308   0.356184E+04   0.982357E+01   0.113280E+03
   309   0.352978E+04   0.999653E+01   0.113313E+03
   310   0.349764E+04   0.101695E+02   0.113318E+03
   311   0.346558E+04   0.103446E+02   0.113281E+03
   312   0.343359E+04   0.105190E+02   0.113215E+03
   313   0.340159E+04   0.106941E+02   0.113107E+03
   314   0.336968E+04   0.108699E+02   0.112971E+03
   315   0.333783E+04   0.110450E+02   0.112791E+03
   316   0.330606E+04   0.112208E+02   0.112577E+03
   317   0.327436E+04   0.113958E+02   0.112327E+03
   318   0.324273E+04   0.115724E+02   0.112041E+03
   319   0.321124E+04   0.117482E+02   0.111720E+03
   320   0.317990E+04   0.119240E+02   0.111371E+03
   321   0.314863E+04   0.121006E+02   0.110979E+03
   322   0.311750E+04   0.122757E+02   0.110551E+03
   323   0.308651E+04   0.124508E+02   0.110088E+03
   324   0.305567E+04   0.126267E+02   0.109582E+03
   325   0.302504E+04   0.127997E+02   0.109055E+03
   326   0.299449E+04   0.129741E+02   0.108477E+03
   327   0.296414E+04   0.131479E+02   0.107872E+03
   328   0.293402E+04   0.133202E+02   0.107238E+03
   329   0.290403E+04   0.134925E+02   0.106561E+03
   330   0.287425E+04   0.136634E+02   0.105849E+03
   331   0.284477E+04   0.138336E+02   0.105108E+03
   332   0.281542E+04   0.140039E+02   0.104339E+03
   333   0.278629E+04   0.141727E+02   0.103534E+03
   334   0.275744E+04   0.143409E+02   0.102694E+03
   335   0.272873E+04   0.145069E+02   0.101818E+03
   336   0.270031E+04   0.146722E+02   0.100914E+03
   337   0.267217E+04   0.148368E+02   0.999661E+02
   338   0.264424E+04   0.149993E+02   0.989976E+02
   339   0.261667E+04   0.151619E+02   0.979933E+02
   340   0.258931E+04   0.153223E+02   0.969681E+02
   341   0.256216E+04   0.154806E+02   0.958997E+02
   342   0.253537E+04   0.156389E+02   0.948028E+02
   343   0.250886E+04   0.157944E+02   0.936776E+02
   344   0.248271E+04   0.159485E+02   0.925239E+02
   345   0.245676E+04   0.161005E+02   0.913417E+02
   346   0.243117E+04   0.162518E+02   0.901386E+02
   347   0.240586E+04   0.164003E+02   0.888995E+02
   348   0.238090E+04   0.165467E+02   0.876320E+02
   349   0.235622E+04   0.166916E+02   0.863359E+02
   350   0.233190E+04   0.168338E+02   0.850188E+02
   351   0.230808E+04   0.169745E+02   0.836731E+02
   352   0.228439E+04   0.171132E+02   0.822989E+02
   353   0.226112E+04   0.172490E+02   0.809109E+02
   354   0.223814E+04   0.173827E+02   0.794868E+02
   355   0.221558E+04   0.175144E+02   0.780415E+02
   356   0.219338E+04   0.176439E+02   0.765823E+02
   357   0.217153E+04   0.177706E+02   0.750944E+02
   358   0.215010E+04   0.178937E+02   0.735926E+02
   359   0.212896E+04   0.180148E+02   0.720620E+02
   360   0.210824E+04   0.181337E+02   0.705136E+02
   361   0.208788E+04   0.182498E+02   0.689430E+02
   362   0.206795E+04   0.183631E+02   0.673532E+02
   363   0.204836E+04   0.184744E+02   0.657463E+02
   364   0.202921E+04   0.185813E+02   0.641185E+02
   365   0.201041E+04   0.186861E+02   0.624759E+02
   366   0.199204E+04   0.187882E+02   0.608153E+02
   367   0.197409E+04   0.188859E+02   0.591389E+02
   368   0.195643E+04   0.189816E+02   0.574483E+02
   369   0.193934E+04   0.190745E+02   0.557412E+02
   370   0.192261E+04   0.191638E+02   0.540226E+02
   371   0.190623E+04   0.192496E+02   0.522889E+02
   372   0.189027E+04   0.193325E+02   0.505445E+02
   373   0.187475E+04   0.194120E+02   0.487864E+02
   374   0.185965E+04   0.194886E+02   0.470182E+02
   375   0.184491E+04   0.195617E+02   0.452400E+02
   376   0.183067E+04   0.196320E+02   0.434516E+02
   377   0.181686E+04   0.196981E+02   0.416561E+02
   378   0.180340E+04   0.197606E+02   0.398504E+02
   379   0.179037E+04   0.198203E+02   0.380389E+02
   380   0.177785E+04   0.198772E+02   0.362194E+02
   381   0.176568E+04   0.199277E+02   0.343947E+02
   382   0.175386E+04   0.199768E+02   0.325657E+02
   383   0.174254E+04   0.200218E+02   0.307308E+02
   384   0.173173E+04   0.200624E+02   0.288936E+02
   385   0.172120E+04   0.201010E+02   0.270527E+02
   386   0.171117E+04   0.201354E+02   0.252103E+02
   387   0.170149E+04   0.201655E+02   0.233662E+02
   388   0.169224E+04   0.201921E+02   0.215220E+02
   389   0.168343E+04   0.202130E+02   0.196776E+02
   390   0.167504E+04   0.202333E+02   0.178352E+02
   391   0.166708E+04   0.202487E+02   0.159933E+02
   392   0.165947E+04   0.202620E+02   0.141549E+02
   393   0.165237E+04   0.202704E+02   0.123190E+02
   394   0.164562E+04   0.202753E+02   0.104881E+02
   395   0.163922E+04   0.202759E+02   0.866038E+01
   396   0.163333E+04   0.202731E+02   0.683955E+01
   397   0.162772E+04   0.202668E+02   0.502420E+01
   398   0.162262E+04   0.202562E+02   0.321561E+01
   399   0.161786E+04   0.202422E+02   0.141464E+01
   400   0.161347E+04   0.202247E+02  -0.377879E+00
   401   0.160950E+04   0.202030E+02  -0.216138E+01
   402   0.160596E+04   0.201770E+02  -0.393497E+01
   403   0.160277E+04   0.201483E+02  -0.569808E+01
   404   0.159995E+04   0.201154E+02  -0.744919E+01
   405   0.159755E+04   0.200783E+02  -0.918913E+01
   406   0.159543E+04   0.200384E+02  -0.109157E+02
   407   0.159375E+04   0.199942E+02  -0.126304E+02
   408   0.159242E+04   0.199466E+02  -0.143289E+02
   409   0.159152E+04   0.198962E+02  -0.160133E+02
   410   0.159091E+04   0.198409E+02  -0.176830E+02
   411   0.159073E+04   0.197827E+02  -0.193357E+02
   412   0.159083E+04   0.197211E+02  -0.209722E+02
   413   0.159129E+04   0.196559E+02  -0.225911E+02
   414   0.159203E+04   0.195872E+02  -0.241925E+02
   415   0.159321E+04   0.195158E+02  -0.257740E+02
   416   0.159467E+04   0.194400E+02  -0.273372E+02
   417   0.159641E+04   0.193615E+02  -0.288814E+02
   418   0.159852E+04   0.192780E+02  -0.304036E+02
   419   0.160099E+04   0.191924E+02  -0.319046E+02
   420   0.160374E+04   0.191041E+02  -0.333845E+02
   421   0.160685E+04   0.190122E+02  -0.348418E+02
   422   0.161025E+04   0.189167E+02  -0.362772E+02
   423   0.161386E+04   0.188177E+02  -0.376886E+02
   424   0.161776E+04   0.187159E+02  -0.390767E+02
   425   0.162202E+04   0.186106E+02  -0.404393E+02
   426   0.162656E+04   0.185032E+02  -0.417772E+02
   427   0.163132E+04   0.183922E+02  -0.430911E+02
   428   0.163637E+04   0.182784E+02  -0.443775E+02
   429   0.164164E+04   0.181618E+02  -0.456377E+02
   430   0.164726E+04   0.180431E+02  -0.468718E+02
   431   0.165310E+04   0.179208E+02  -0.480784E+02
   432   0.165908E+04   0.177957E+02  -0.492581E+02
   433   0.166543E+04   0.176692E+02  -0.504082E+02
   434   0.167191E+04   0.175392E+02  -0.515315E+02
   435   0.167861E+04   0.174078E+02  -0.526260E+02
   436   0.168561E+04   0.172736E+02  -0.536915E+02
   437   0.169282E+04   0.171365E+02  -0.547266E+02
   438   0.170017E+04   0.169973E+02  -0.557314E+02
   439   0.170781E+04   0.168568E+02  -0.567074E+02
   440   0.171559E+04   0.167134E+02  -0.576517E+02
   441   0.172360E+04   0.165679E+02  -0.585664E+02
   442   0.173167E+04   0.164202E+02  -0.594494E+02
   443   0.174003E+04   0.162712E+02  -0.603015E+02
   444   0.174854E+04   0.161208E+02  -0.611212E+02
   445   0.175719E+04   0.159667E+02  -0.619092E+02
   446   0.176591E+04   0.158128E+02  -0.626642E+02
   447   0.177486E+04   0.156575E+02  -0.633883E+02
   448   0.178387E+04   0.154993E+02  -0.640802E+02
   449   0.179310E+04   0.153404E+02  -0.647383E+02
   450   0.180248E+04   0.151809E+02  -0.653648E+02
   451   0.181193E+04   0.150192E+02  -0.659577E+02
   452   0.182145E+04   0.148569E+02  -0.665191E+02
   453   0.183119E+04   0.146939E+02  -0.670468E+02
   454   0.184093E+04   0.145294E+02  -0.675422E+02
   455   0.185075E+04   0.143643E+02  -0.680053E+02
   456   0.186078E+04   0.141977E+02  -0.684295E+02
   457   0.187074E+04   0.140312E+02  -0.688287E+02
   458   0.188085E+04   0.138640E+02  -0.691845E+02
   459   0.189103E+04   0.136968E+02  -0.695124E+02
   460   0.190129E+04   0.135282E+02  -0.698064E+02
   461   0.191154E+04   0.133596E+02  -0.700673E+02
   462   0.192187E+04   0.131902E+02  -0.702891E+02
